	chunk_id	document	page	content
0	b8bbcfb9-3da9-4a80-a9c7-b1edeb9d818f	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	"Toggle the table of contents

A Song of Ice and Fire

77 languages

Alemannisch

العربية

অসমীয়া

বাংলা

閩南語 / Bân-lâm-gú

Беларуская

Беларуская (тарашкевіца)

Български

Brezhoneg

Català

Чӑвашла

Čeština

Cymraeg

Dansk

Deutsch

Eesti

Ελληνικά

Español

Esperanto

Euskara

فارسی

Français

Gaeilge

Galego

ગુજરાતી

한국어

Հայերեն

हिन्दी

Hrvatski

Bahasa Indonesia

Italiano

עברית

ಕನ್ನಡ

ქართული

Қазақша

Kurdî

Кыргызча

Ladin

Latina

Latviešu

Lietuvių

Magyar

Македонски

മലയാളം"
1	02f68bc9-c009-4cf6-a8e0-4bbedb1d2c96	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	"Latviešu

Lietuvių

Magyar

Македонски

മലയാളം

मराठी

Bahasa Melayu

Nederlands

日本語

Norsk bokmål

ଓଡ଼ିଆ

Oʻzbekcha / ўзбекча

ਪੰਜਾਬੀ

Polski

Português

Română

Русский

Sakizaya

Shqip

සිංහල

Simple English

Slovenčina

Slovenščina

Српски / srpski

Srpskohrvatski / српскохрватски

Suomi

Svenska

தமிழ்

తెలుగు

ไทย

Türkçe

Українська

Tiếng Việt

文言

吴语

ייִדיש

粵語

中文

Edit links

Article

Talk

English

Read

Edit

View history

Tools

Tools

Actions

Read

Edit

View history

General"
2	8d94393a-6562-48f2-8982-ebdad9776f3a	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	"Actions

Read

Edit

View history

General

What links here

Related changes

Upload file

Special pages

Permanent link

Page information

Cite this page

Get shortened URL

Download QR code

Wikidata item

Print/export

Download as PDF

Printable version

In other projects

Wikimedia Commons

Wikiquote

From Wikipedia, the free encyclopedia

Series of epic fantasy novels by George R. R. Martin"
3	c368c444-d580-47aa-ab60-f27c571e2b9f	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	A Song of Ice and Fire book collection box set cover A Game of Thrones (1996) A Clash of Kings (1998) A Storm of Swords (2000) A Feast for Crows (2005) A Dance with Dragons (2011) The Winds of Winter (forthcoming) A Dream of Spring (planned) Author George R. R. Martin Country United States Language English Genre Epic fantasy [1] [2] Publisher Bantam Books (US, Canada) Voyager Books (UK, Australia) Published August 1, 1996 – present Media type Print ( paperback & hardcover ) Audiobook E-book
4	dc4540d2-df0c-4075-a4fa-85aeb0b07bff	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	A Song of Ice and Fire is a series of epic fantasy novels by the American novelist and screenwriter George R. R. Martin. He began writing the first volume, A Game of Thrones, in 1991, publishing it in 1996. Martin originally envisioned the series as a trilogy but has released five out of a planned seven volumes. The fifth and most recent entry in the series, A Dance with Dragons, was published in 2011. Martin continues to write the sixth novel, titled The Winds of Winter. A seventh novel, A
5	17bea9cc-8057-4f54-8a21-edf79a5fb119	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	titled The Winds of Winter. A seventh novel, A Dream of Spring, is planned to follow.
6	c4d1e00e-4aa2-4607-b06d-7abc4963d6e5	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	A Song of Ice and Fire depicts a violent world dominated by political realism. What little supernatural power exists is confined to the margins of the known world. Moral ambiguity pervades the books and their stories continually raise questions concerning loyalty, pride, human sexuality, piety, and the morality of violence.
7	315f0b52-7105-405a-a38d-ebe6078b9ad1	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	The story unfolds through a rotating set of subjective points of view, the success or survival of any one of which is never assured. Each chapter is told from a limited third-person perspective, drawn from a group of characters that grows from nine in the first novel to 31 by the fifth.
8	ee7d2428-eae8-4814-8721-517510f8c4d3	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	The novels are set on the fictional continents of Westeros and Essos. Martin's stated inspirations for the series include the Wars of the Roses and The Accursed Kings, a series of French historical novels by Maurice Druon.[3][4] The work as a whole consists of three interwoven plots: a dynastic war among several families for control of Westeros; the growing threat posed by the powerful supernatural Others from the northernmost region of Westeros; and the ambition of the daughter of the deposed
9	f7b8aa36-102f-4234-891c-a69f4d633131	E:\aditi works\purpleslate\udemy\chatbot\GoT\A Song of Ice and Fire - Wikipedia.html	0	and the ambition of the daughter of the deposed Westerosi king to return from her exile in Essos and assume the Iron Throne.
